Write time: 2018-03-11 10:21:07

ID	Host_IP_Address	Host_Port	Anonymity	Type	Location	
57	218.20.54.114	9797	HTTP	透明	广东广州市天河区	96%	96%	102天	18-03-11 05:55	
58	118.254.154.26	3128	HTTP	高匿	湖南衡阳	86%	96%	1分钟	18-03-11 05:45	
59	180.155.136.10	31802	HTTP	高匿	上海	91%	95%	1分钟	18-03-11 05:30	
60	183.23.74.26	61234	HTTP	高匿	广东东莞	88%	99%	1天	18-03-11 05:22	
61	49.79.193.128	61234	HTTP	高匿	江苏	94%	98%	2小时	18-03-11 05:22	
62	27.28.234.43	61234	HTTP	高匿	湖北	97%	99%	1分钟	18-03-11 05:15	
63	27.215.249.132	61234	HTTP	高匿	山东	72%	97%	1分钟	18-03-11 05:15	
64	182.54.20.2	61202	HTTP	高匿	宁夏石嘴山	92%	97%	41分钟	18-03-11 05:11	
65	121.231.54.92	6666	HTTP	高匿	江苏常州	89%	97%	1分钟	18-03-11 05:00	
66	114.230.107.254	49279	HTTP	高匿	江苏扬州	80%	92%	1分钟	18-03-11 05:00	
67	59.38.241.241	61234	HTTP	高匿	广东佛山市顺德区	95%	98%	1分钟	18-03-11 05:00	
68	180.118.240.170	61234	HTTP	高匿	江苏镇江	97%	96%	50天	18-03-11 04:55	
69	180.116.188.222	6666	HTTP	高匿	江苏常州	62%	89%	1分钟	18-03-11 04:45	
70	183.31.236.106	6666	HTTP	高匿	广东珠海市香洲区	95%	98%	1分钟	18-03-11 04:45	
71	117.69.3.101	61234	HTTP	高匿	安徽淮南	89%	96%	3小时	18-03-11 04:23	
72	222.183.215.182	8123	HTTP	高匿	重庆	96%	97%	1分钟	18-03-11 04:15	
73	175.171.189.74	53281	HTTP	透明	辽宁大连	95%	99%	31分钟	18-03-11 04:01	
74	14.153.55.90	3128	HTTP	透明	广东深圳	96%	99%	10分钟	18-03-11 03:40	
75	49.79.192.10	61234	HTTP	高匿	江苏	87%	98%	4小时	18-03-11 03:34	
76	180.173.149.144	9797	HTTP	透明	上海	97%	97%	19小时	18-03-11 03:31	
77	115.221.112.254	35545	HTTP	高匿	浙江温州	91%	98%	1分钟	18-03-11 03:30	
78	171.212.200.116	7777	HTTP	高匿	四川成都	87%	95%	1分钟	18-03-11 02:46	
79	122.241.74.194	808	HTTP	高匿	浙江丽水	88%	96%	230天	18-03-11 02:33	
80	117.84.179.23	36894	HTTP	高匿	江苏无锡	85%	97%	1分钟	18-03-11 02:30	
81	182.54.20.242	61202	HTTP	高匿	宁夏石嘴山	88%	99%	1分钟	18-03-11 02:15	
82	125.44.47.186	61202	HTTP	高匿	河南开封	87%	96%	1分钟	18-03-11 02:15	
83	60.184.174.144	3128	HTTP	高匿	浙江丽水	97%	95%	1分钟	18-03-11 02:15	
84	183.157.175.37	8118	HTTP	高匿	浙江杭州	81%	90%	1分钟	18-03-11 02:00	
85	113.117.107.11	61234	HTTP	高匿	广东揭阳市普宁	88%	98%	12小时	18-03-11 02:00	
86	183.32.220.20	61234	HTTP	高匿	广东中山	93%	95%	2小时	18-03-11 01:38	
87	121.27.149.231	61202	HTTP	高匿	河北邢台	63%	86%	1分钟	18-03-11 01:30	
88	1.196.135.163	61234	HTTP	高匿	河南商丘	93%	96%	1分钟	18-03-11 01:30	
89	1.197.72.245	61234	HTTP	高匿	河南周口	93%	95%	20小时	18-03-11 01:29	
90	111.155.116.222	8123	HTTP	高匿	北京	94%	99%	555天	18-03-11 01:11	
91	111.155.116.217	8123	HTTP	高匿	北京	97%	96%	342天	18-03-11 00:50	
92	1.199.211.103	61234	HTTP	高匿	河南新乡	79%	98%	1小时	18-03-11 00:46	
93	114.227.150.55	6666	HTTP	高匿	江苏常州	85%	97%	1分钟	18-03-11 00:45	
94	115.208.85.191	61234	HTTP	高匿	浙江湖州	90%	96%	10分钟	18-03-11 00:40	
95	115.208.85.191	61234	HTTP	高匿	浙江湖州	90%	96%	10分钟	18-03-11 00:40	
96	175.148.79.75	1133	HTTP	高匿	辽宁葫芦岛	83%	91%	1分钟	18-03-11 00:30	
97	121.231.171.204	6666	HTTP	高匿	江苏常州	51%	83%	1分钟	18-03-11 00:30	
98	115.223.82.203	61202	HTTP	高匿	浙江温州	91%	99%	1分钟	18-03-11 00:30	
99	111.155.116.201	8123	HTTP	高匿	北京	73%	91%	580天	18-03-11 00:22	
100	122.244.14.10	61202	HTTP	高匿	浙江宁波	95%	98%	1分钟	18-03-11 00:15	
101	106.83.55.209	61202	HTTP	高匿	重庆	90%	99%	1分钟	18-03-11 00:15	
102	114.80.223.213	9000	HTTP	透明	上海	83%	93%	5天	18-03-11 00:11	
103	111.155.116.215	8123	HTTP	高匿	北京	97%	98%	333天	18-03-11 00:05	
104	114.230.41.54	3128	HTTP	高匿	江苏扬州	72%	93%	3小时	18-03-10 23:52	
105	1.195.243.235	61234	HTTP	高匿	河南三门峡	97%	96%	1分钟	18-03-10 23:45	
106	183.68.28.218	61202	HTTP	高匿	重庆	86%	97%	1分钟	18-03-10 23:45	
107	14.118.254.157	6666	HTTP	高匿	广东江门	70%	91%	4小时	18-03-10 23:31	
108	121.31.163.51	8123	HTTP	高匿	广西北海	85%	90%	315天	18-03-10 23:30	
109	14.118.253.22	6666	HTTP	高匿	广东江门	62%	86%	3小时	18-03-10 23:25	
110	112.239.89.104	61234	HTTP	高匿	山东枣庄	92%	95%	35分钟	18-03-10 23:21	
111	123.53.132.208	61234	HTTP	高匿	河南许昌	95%	95%	10小时	18-03-10 23:21	
112	114.230.41.201	808	HTTP	高匿	江苏扬州	87%	96%	355天	18-03-10 23:11	
113	14.20.235.26	9797	HTTP	透明	广东深圳	78%	99%	1分钟	18-03-10 23:00	
114	116.53.95.137	61202	HTTP	高匿	云南红河州	76%	96%	1分钟	18-03-10 22:45	
115	27.201.191.86	8118	HTTP	高匿	山东	95%	99%	40分钟	18-03-10 22:41	
116	125.47.247.161	61202	HTTP	高匿	河南	86%	98%	1分钟	18-03-10 22:30	
117	113.118.98.205	9999	HTTP	透明	广东深圳	93%	98%	26天	18-03-10 22:30	
118	59.32.37.31	61234	HTTP	高匿	广东河源	66%	81%	12小时	18-03-10 22:27	
119	36.45.176.249	61202	HTTP	高匿	陕西	88%	98%	51分钟	18-03-10 22:21	
120	183.153.52.44	61202	HTTP	高匿	浙江台州	99%	97%	1分钟	18-03-10 22:16	
121	39.72.89.240	61202	HTTP	高匿	山东	75%	97%	1分钟	18-03-10 22:16	
122	106.124.149.209	61202	HTTP	高匿	广东	98%	97%	1分钟	18-03-10 22:15	
123	59.53.42.173	8118	HTTP	高匿	江西南昌	87%	95%	570天	18-03-10 22:11	
124	39.79.213.154	61202	HTTP	高匿	山东	87%	95%	40分钟	18-03-10 22:10	
125	49.73.85.188	8118	HTTP	高匿	江苏苏州	89%	97%	21小时	18-03-10 22:04	
126	223.241.58.134	61202	HTTP	高匿	安徽芜湖	95%	97%	1小时	18-03-10 22:00	
127	36.59.94.101	61202	HTTP	高匿	安徽	87%	95%	1分钟	18-03-10 22:00	
128	123.55.152.191	61234	HTTP	高匿	河南开封	92%	97%	1分钟	18-03-10 22:00	
129	27.44.163.6	9999	HTTP	透明	广东东莞	98%	95%	11分钟	18-03-10 21:41	
130	219.216.121.153	61202	HTTP	高匿	辽宁沈阳	86%	95%	11分钟	18-03-10 21:41	
131	59.38.241.198	61234	HTTP	高匿	广东佛山市顺德区	71%	97%	48分钟	18-03-10 21:34	
132	121.231.147.74	6666	HTTP	高匿	江苏常州	85%	95%	1分钟	18-03-10 21:30	
133	221.10.224.189	61202	HTTP	高匿	四川巴中	87%	97%	1分钟	18-03-10 21:30	
134	222.217.33.222	61202	HTTP	高匿	广西柳州	85%	97%	1分钟	18-03-10 21:30	
135	180.113.1.46	8118	HTTP	高匿	江苏无锡	95%	97%	5分钟	18-03-10 21:20	
136	125.121.122.76	6666	HTTP	高匿	浙江杭州	80%	97%	1分钟	18-03-10 21:15	
137	171.37.168.47	8123	HTTP	高匿	广西	68%	85%	1分钟	18-03-10 21:01	
138	125.112.171.151	61234	HTTP	高匿	浙江金华	89%	97%	1分钟	18-03-10 21:00	
139	106.112.167.228	808	HTTP	高匿	河北	70%	84%	1分钟	18-03-10 21:00	
140	218.20.55.124	9999	HTTP	透明	广东广州市天河区	90%	98%	67天	18-03-10 21:00	
141	60.162.58.141	61202	HTTP	高匿	浙江台州	85%	98%	1小时	18-03-10 20:31	
142	113.89.157.136	9797	HTTP	透明	广东深圳	96%	98%	30分钟	18-03-10 20:31	
143	171.37.164.168	8123	HTTP	高匿	广西	62%	85%	705天	18-03-10 20:31	
144	123.245.80.64	61202	HTTP	高匿	辽宁沈阳	92%	95%	1分钟	18-03-10 20:31	
145	171.12.224.41	61234	HTTP	高匿	河南	88%	96%	1分钟	18-03-10 20:30	
146	220.172.101.172	61202	HTTP	高匿	贵州遵义	70%	95%	1分钟	18-03-10 20:30	
147	1.194.152.8	61234	HTTP	高匿	河南平顶山	88%	96%	1分钟	18-03-10 20:15	
148	58.42.2.163	61202	HTTP	高匿	贵州遵义	87%	99%	1分钟	18-03-10 20:15	
